trade_date,ticker,high,low,open_value,close,volume,adj_close
2021-09-09,aal,20.61,19.01,19.10,20.20,60077200,20.20
2021-09-09,aapl,156.11,153.95,155.49,154.07,57305700,154.07
2021-09-09,amzn,3549.99,3480.37,3526.02,3484.16,2719200,3484.16
2021-09-09,ba,216.61,210.72,211.15,213.94,9242800,213.94
2021-09-09,bac,41.35,40.56,40.66,40.93,36266400,40.93
2021-09-09,c,71.10,69.91,69.97,70.46,14212900,70.46
2021-09-09,chwy,76.89,75.54,75.99,76.60,2386900,76.60
2021-09-09,coke,398.45,393.25,397.75,394.14,16200,394.14
2021-09-09,dis,187.58,184.57,185.15,185.91,7190700,185.91
2021-09-09,f,12.95,12.72,12.95,12.76,68806400,12.76
2021-09-09,ge,104.92,102.11,102.36,103.29,9386500,103.29
2021-09-09,gs,408.88,403.51,404.67,404.58,2424600,404.58
2021-09-09,hsy,176.68,175.00,176.58,175.40,623500,175.40
2021-09-09,intc,53.89,53.34,53.66,53.40,13495800,53.40
2021-09-09,kodk,7.38,7.01,7.01,7.24,1765000,7.24
2021-09-09,m,21.88,21.01,21.33,21.64,20695400,21.64
2021-09-09,ma,353.64,349.92,350.71,351.41,3716200,351.41
2021-09-09,msft,302.14,297.00,300.82,297.25,19927000,297.25
2021-09-09,nke,166.15,163.20,165.26,163.34,8414800,163.34
2021-09-09,pg,144.88,143.65,144.57,143.99,6354700,143.99
2021-09-09,pypl,289.37,285.08,287.45,286.88,4170000,286.88
2021-09-09,sq,258.63,251.38,256.00,251.54,5606200,251.54
2021-09-09,tsla,762.10,751.63,753.41,754.86,14077700,754.86
2021-09-09,v,230.00,227.10,229.31,227.49,5853000,227.49
2021-09-09,wmt,147.61,145.84,147.46,146.42,7442900,146.42